	q0	q1	q2	densidad	velocidad	presion	t	x
564	1.00000105	1.00000105	3.00000053	1.00000105	1.0	1.0000000019999997	0.0	1.28
565	1.00000122	1.00000122	3.00000061	1.00000122	1.0	0.9999999999999998	0.0	1.3
566	1.00000141	1.00000141	3.00000071	1.00000141	1.0	1.0000000019999997	0.0	1.32
567	1.00000164	1.00000164	3.00000082	1.00000164	1.0	0.9999999999999998	0.0	1.34
568	1.00000189	1.00000189	3.00000095	1.00000189	1.0	1.0000000019999997	0.0	1.36
569	1.00000219	1.00000219	3.00000109	1.00000219	1.0	0.9999999979999998	0.0	1.3800000000000001
570	1.00000253	1.00000253	3.00000126	1.00000253	1.0	0.9999999979999998	0.0	1.4000000000000001
571	1.00000292	1.00000292	3.00000146	1.00000292	1.0	0.9999999999999998	0.0	1.42
572	1.00000336	1.00000336	3.00000168	1.00000336	1.0	0.9999999999999998	0.0	1.44
573	1.00000388	1.00000388	3.00000194	1.00000388	1.0	0.9999999999999998	0.0	1.46
574	1.00000446	1.00000446	3.00000223	1.00000446	1.0	0.9999999999999998	0.0	1.48
575	1.00000513	1.00000513	3.00000257	1.00000513	1.0	1.0000000019999997	0.0	1.5
576	1.0000059	1.0000059	3.00000295	1.0000059	1.0	0.9999999999999998	0.0	1.52
577	1.00000677	1.00000677	3.00000339	1.00000677	1.0	1.0000000019999997	0.0	1.54
578	1.00000777	1.00000777	3.00000389	1.00000777	1.0	1.0000000019999997	0.0	1.56
579	1.00000891	1.00000891	3.00000446	1.00000891	1.0	1.0000000019999997	0.0	1.58
580	1.00001021	1.00001021	3.00000511	1.00001021	1.0	1.0000000019999997	0.0	1.6
581	1.00001169	1.00001169	3.00000584	1.00001169	1.0	0.9999999979999998	0.0	1.62
582	1.00001337	1.00001337	3.00000668	1.00001337	1.0	0.9999999979999996	0.0	1.6400000000000001
583	1.00001528	1.00001528	3.00000764	1.00001528	1.0	0.9999999999999998	0.0	1.6600000000000001
584	1.00001745	1.00001745	3.00000873	1.00001745	1.0	1.0000000019999995	0.0	1.68
585	1.00001991	1.00001991	3.00000996	1.00001991	1.0	1.0000000019999997	0.0	1.7
586	1.00002271	1.00002271	3.00001135	1.00002271	1.0	0.9999999979999996	0.0	1.72
587	1.00002587	1.00002587	3.00001293	1.00002587	1.0	0.9999999979999998	0.0	1.74
588	1.00002945	1.00002945	3.00001472	1.00002945	1.0	0.9999999979999996	0.0	1.76
589	1.0000335	1.0000335	3.00001675	1.0000335	1.0	0.9999999999999998	0.0	1.78
590	1.00003807	1.00003807	3.00001903	1.00003807	1.0	0.9999999979999996	0.0	1.8
591	1.00004323	1.00004323	3.00002162	1.00004323	1.0	1.0000000019999997	0.0	1.82
592	1.00004906	1.00004906	3.00002453	1.00004906	1.0	0.9999999999999998	0.0	1.84
593	1.00005562	1.00005562	3.00002781	1.00005562	1.0	0.9999999999999998	0.0	1.86
594	1.00006302	1.00006302	3.00003151	1.00006302	1.0	0.9999999999999998	0.0	1.8800000000000001
595	1.00007134	1.00007134	3.00003567	1.00007134	1.0	0.9999999999999998	0.0	1.9000000000000001
596	1.00008069	1.00008069	3.00004034	1.00008069	1.0	0.9999999979999998	0.0	1.92
597	1.0000912	1.0000912	3.0000456	1.0000912	1.0	0.9999999999999998	0.0	1.94
598	1.00010299	1.00010299	3.00005149	1.00010299	1.0	0.9999999979999998	0.0	1.96
599	1.00011621	1.00011621	3.00005811	1.00011621	1.0	1.0000000019999997	0.0	1.98
600	1.00013103	1.00013103	3.00006551	1.00013103	1.0	0.999999998	0.0	2.0
601	1.00014762	1.00014762	3.00007381	1.00014762	1.0	0.9999999999999998	0.0	2.02
602	1.00016617	1.00016617	3.00008308	1.00016617	1.0	0.9999999979999998	0.0	2.04
603	1.00018691	1.00018691	3.00009345	1.00018691	1.0	0.9999999979999998	0.0	2.06
604	1.00021006	1.00021006	3.00010503	1.00021006	1.0	0.9999999999999998	0.0	2.08
605	1.0002359	1.0002359	3.00011795	1.0002359	1.0	0.9999999999999998	0.0	2.1
606	1.0002647	1.0002647	3.00013235	1.0002647	1.0	0.9999999999999998	0.0	2.12
607	1.00029679	1.00029679	3.00014839	1.00029679	1.0	0.9999999979999998	0.0	2.14
608	1.00033249	1.00033249	3.00016625	1.00033249	1.0	1.0000000019999997	0.0	2.16
609	1.00037219	1.00037219	3.0001861	1.00037219	1.0	1.0000000019999997	0.0	2.18
610	1.0004163	1.0004163	3.00020815	1.0004163	1.0	0.9999999999999998	0.0	2.2
611	1.00046527	1.00046527	3.00023263	1.00046527	1.0	0.9999999979999998	0.0	2.22
612	1.00051957	1.00051957	3.00025979	1.00051957	1.0	1.0000000019999997	0.0	2.24
613	1.00057976	1.00057976	3.00028988	1.00057976	1.0	0.9999999999999998	0.0	2.2600000000000002
614	1.00064639	1.00064639	3.0003232	1.00064639	1.0	1.0000000019999997	0.0	2.2800000000000002
615	1.00072011	1.00072011	3.00036006	1.00072011	1.0	1.000000002	0.0	2.3000000000000003
616	1.0008016	1.0008016	3.0004008	1.0008016	1.0	0.9999999999999998	0.0	2.32
